"GEREG","TELFS2","UNEMPLOYRATE","TEAGE","PEEDUCA","PEMARITL","PTDTRACE","CHILD","TESEX","SEASON","STATE","WEEKDAY"
3,"Unemployed",4.2,42,"High School Degree","Not Married","White",0,"male","Winter","North Carolina",1
2,"Not in the labor force",3.3,58,"High School Degree","Not Married","White",0,"male","Winter","Indiana",0
1,"Employed",4.5,55,"Less than High School","Not Married","Black",0,"female","Winter","New York",1
3,"Not in the labor force",5.4,43,"Less than High School","Not Married","White",1,"female","Winter","West Virginia",1
3,"Not in the labor force",4.2,46,"Less than High School","Not Married","White",0,"male","Winter","North Carolina",0
3,"Employed",3.9,58,"High School Degree","Not Married","Hispanic",0,"female","Winter","Florida",0
2,"Employed",3.3,30,"High School Degree","Not Married","White",1,"female","Winter","Indiana",1
3,"Employed",4,47,"High School Degree","Married","White",1,"male","Winter","Texas",1
3,"Employed",4.2,37,"Bachelor/Master's and above","Married","White",1,"male","Winter","Georgia",1
4,"Employed",4.4,50,"Bachelor/Master's and above","Married","Asian",1,"male","Winter","California",0
4,"Employed",4.8,48,"Bachelor/Master's and above","Married","White",1,"male","Winter","Arizona",1
2,"Employed",4.5,44,"Bachelor/Master's and above","Married","White",1,"female","Winter","Illinois",0
3,"Employed",4.2,36,"Bachelor/Master's and above","Married","White",1,"male","Winter","Maryland",0
2,"Employed",4.5,54,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Illinois",1
3,"Employed",4.2,32,"Bachelor/Master's and above","Married","Black",1,"male","Winter","Maryland",0
3,"Employed",3.9,57,"Bachelor/Master's and above","Married","White",0,"female","Winter","Alabama",0
4,"Employed",4.8,33,"Bachelor/Master's and above","Not Married","Hispanic",1,"female","Winter","Arizona",1
2,"Employed",4.5,47,"High School Degree","Married","White",1,"male","Winter","Michigan",1
4,"Employed",6.7,50,"High School Degree","Married","White",1,"female","Winter","Alaska",1
3,"Not in the labor force",3.3,47,"High School Degree","Not Married","White",1,"male","Winter","Virginia",0
3,"Employed",3.3,29,"High School Degree","Married","Hispanic",1,"female","Winter","Virginia",0
1,"Employed",4.5,39,"Less than High School","Not Married","Black",0,"female","Winter","New York",1
4,"Not in the labor force",4.8,25,"High School Degree","Not Married","Hispanic",1,"female","Winter","Arizona",0
4,"Employed",4.4,57,"Bachelor/Master's and above","Not Married","Asian",1,"male","Winter","California",0
2,"Employed",3,36,"Bachelor/Master's and above","Not Married","Black",1,"female","Winter","Wisconsin",0
3,"Employed",4.2,39,"Bachelor/Master's and above","Married","White",1,"male","Winter","Georgia",1
