"TELFS2","UNEMPLOYRATE","TEAGE","PEEDUCA","PEMARITL","PTDTRACE","CHILD","TESEX","SEASON","WEEKDAY","GEREG"
"Employed",4.2,25,"Less than High School","Not Married","Hispanic",1,"female","Winter",1,"Midwest"
"Employed",2.4,34,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Northeast"
"Employed",3.1,53,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"Northeast"
"Employed",3.7,26,"Less than High School","Not Married","Hispanic",0,"female","Winter",0,"South"
"Employed",3.7,45,"Bachelor/Master's and above","Married","Hispanic",1,"male","Winter",0,"South"
"Employed",3,36,"High School Degree","Not Married","Black",0,"male","Winter",1,"South"
"Employed",2.9,40,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"West"
"Employed",3.1,53,"Bachelor/Master's and above","Married","White",0,"male","Winter",1,"Midwest"
"Employed",4.2,40,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Midwest"
"Employed",4,52,"Bachelor/Master's and above","Married","White",0,"male","Winter",1,"Northeast"
"Employed",4,52,"High School Degree","Married","White",1,"male","Winter",1,"Northeast"
"Employed",4.3,37,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"West"
"Employed",2.7,47,"Bachelor/Master's and above","Not Married","Black",1,"female","Winter",1,"Midwest"
"Not in the labor force",4,59,"High School Degree","Not Married","White",0,"female","Winter",0,"Northeast"
"Employed",3.8,33,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"South"
"Employed",3.7,42,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"Northeast"
"Not in the labor force",3.4,58,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"South"
"Not in the labor force",3.2,40,"High School Degree","Married","Black",1,"female","Winter",0,"West"
"Employed",3.8,57,"High School Degree","Not Married","Black",1,"female","Winter",1,"South"
"Employed",4.9,46,"High School Degree","Not Married","White",0,"male","Winter",0,"West"
"Employed",4.5,28,"High School Degree","Not Married","White",1,"female","Winter",1,"West"
"Not in the labor force",3,44,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",3.8,41,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",1,"South"
"Employed",3.4,54,"High School Degree","Not Married","Black",0,"female","Winter",1,"South"
"Not in the labor force",3.4,26,"Bachelor/Master's and above","Not Married","Hispanic",1,"female","Winter",1,"South"
"Employed",4.3,29,"High School Degree","Not Married","Hispanic",1,"female","Winter",0,"West"
"Not in the labor force",4,42,"High School Degree","Not Married","White",1,"female","Winter",1,"Northeast"
"Employed",3.8,47,"Less than High School","Not Married","Black",1,"female","Winter",0,"South"
"Not in the labor force",3.4,39,"High School Degree","Not Married","White",1,"male","Winter",0,"South"
"Employed",4,34,"High School Degree","Married","White",1,"male","Winter",0,"South"
"Unemployed",4.3,37,"High School Degree","Not Married","Hispanic",1,"female","Winter",0,"West"
"Not in the labor force",4.9,50,"Less than High School","Not Married","White",0,"female","Winter",1,"South"
"Not in the labor force",4.4,44,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Midwest"
"Employed",3.2,36,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Midwest"
"Not in the labor force",3.8,57,"High School Degree","Married","White",0,"male","Winter",1,"South"
"Not in the labor force",3.5,49,"High School Degree","Married","Hispanic",1,"female","Winter",1,"West"
"Employed",3.7,32,"Bachelor/Master's and above","Married","Black",1,"female","Winter",1,"Northeast"
"Employed",4.2,28,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",1,"Midwest"
"Employed",3.8,26,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"South"
"Employed",4.3,45,"High School Degree","Married","Hispanic",0,"female","Winter",1,"West"
"Employed",3,60,"Less than High School","Not Married","White",0,"male","Winter",1,"Midwest"
"Employed",4.4,39,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"Midwest"
"Not in the labor force",4.3,59,"Bachelor/Master's and above","Married","White",0,"male","Winter",0,"West"
"Employed",3.7,41,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Northeast"
"Employed",4.2,32,"High School Degree","Married","White",1,"male","Winter",1,"South"
"Employed",4.3,55,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Midwest"
"Not in the labor force",3.7,37,"Less than High School","Not Married","Hispanic",1,"female","Winter",1,"South"
"Employed",2.3,30,"High School Degree","Not Married","White",1,"female","Winter",0,"Midwest"
"Employed",3.8,48,"Bachelor/Master's and above","Not Married","Black",0,"male","Winter",0,"South"
"Not in the labor force",4,39,"Less than High School","Not Married","Black",0,"female","Winter",1,"Northeast"
"Unemployed",3.4,39,"Bachelor/Master's and above","Married","Black",0,"female","Winter",1,"South"
"Employed",3.1,32,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Northeast"
"Employed",4.3,57,"Bachelor/Master's and above","Married","White",0,"female","Winter",1,"West"
"Employed",2.5,54,"High School Degree","Married","White",0,"male","Winter",1,"Northeast"
"Not in the labor force",4,55,"High School Degree","Married","Black",0,"male","Winter",0,"Northeast"
"Employed",3.8,44,"Bachelor/Master's and above","Married","Black",0,"female","Winter",1,"South"
"Employed",3.8,46,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Employed",4.1,28,"Bachelor/Master's and above","Married","Asian",0,"female","Winter",1,"Northeast"
"Employed",4.7,52,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Winter",0,"South"
"Employed",3.2,37,"High School Degree","Married","White",1,"female","Winter",0,"Midwest"
"Employed",3.2,25,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Winter",1,"Midwest"
"Employed",2.9,43,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"West"
"Employed",4,46,"High School Degree","Married","White",0,"female","Winter",0,"South"
"Employed",3.6,25,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",3.7,47,"High School Degree","Married","Hispanic",0,"male","Winter",1,"South"
"Not in the labor force",3.3,44,"Less than High School","Married","Hispanic",0,"female","Winter",0,"Midwest"
"Employed",4.9,51,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",0,"South"
"Employed",3.4,44,"Bachelor/Master's and above","Not Married","Black",0,"male","Winter",1,"South"
"Employed",4.2,44,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"South"
"Employed",3.6,26,"Bachelor/Master's and above","Not Married","Hispanic",1,"male","Winter",0,"Midwest"
"Employed",4.3,40,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"West"
"Not in the labor force",5,54,"Less than High School","Married","Hispanic",0,"female","Winter",0,"West"
"Employed",3.8,39,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Winter",0,"Northeast"
"Unemployed",4,58,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Northeast"
"Employed",4.1,38,"High School Degree","Married","White",1,"female","Winter",0,"Northeast"
"Employed",4.3,38,"High School Degree","Married","Hispanic",1,"male","Winter",1,"West"
"Employed",3.3,28,"High School Degree","Married","White",1,"male","Winter",1,"South"
"Employed",4.9,41,"High School Degree","Not Married","White",1,"male","Winter",1,"West"
"Employed",3.7,41,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Employed",3.1,32,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",4.1,52,"Bachelor/Master's and above","Married","Black",0,"female","Winter",0,"Northeast"
"Employed",5,27,"High School Degree","Married","White",1,"female","Winter",0,"West"
"Not in the labor force",3.4,56,"Less than High School","Married","White",1,"female","Winter",0,"South"
"Employed",3.8,50,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Northeast"
"Employed",4.9,43,"Less than High School","Married","Hispanic",0,"male","Winter",0,"West"
"Employed",4.2,40,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"South"
"Employed",4.3,52,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"West"
"Employed",4.3,35,"High School Degree","Married","White",1,"male","Winter",0,"Midwest"
"Employed",5.1,30,"High School Degree","Not Married","Black",1,"female","Winter",0,"South"
"Employed",3.8,39,"High School Degree","Married","White",1,"male","Winter",0,"Northeast"
"Employed",3.1,35,"High School Degree","Married","White",1,"male","Winter",1,"Northeast"
"Employed",3,25,"Less than High School","Not Married","White",1,"male","Winter",0,"Midwest"
"Not in the labor force",4,35,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Northeast"
"Not in the labor force",3.2,35,"Less than High School","Not Married","White",1,"female","Winter",0,"Midwest"
"Employed",3.6,26,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"South"
"Employed",3.7,55,"Less than High School","Married","White",0,"male","Winter",1,"South"
"Employed",2.3,44,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Midwest"
"Employed",2.9,32,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter",0,"West"
"Employed",4.1,25,"Less than High School","Not Married","White",0,"male","Winter",0,"Northeast"
"Employed",4.2,43,"High School Degree","Married","White",1,"female","Winter",1,"Midwest"
"Not in the labor force",4.2,51,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"West"
"Employed",3.1,41,"Bachelor/Master's and above","Married","Black",1,"male","Winter",0,"Northeast"
"Employed",3.7,59,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"South"
"Employed",3.7,36,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"South"
"Unemployed",4.1,26,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"Northeast"
"Employed",4.3,42,"Less than High School","Not Married","Hispanic",1,"male","Winter",1,"West"
"Employed",3.2,38,"Bachelor/Master's and above","Married","Asian",1,"male","Winter",0,"Midwest"
"Not in the labor force",4.2,31,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",3.4,49,"High School Degree","Married","Hispanic",1,"male","Winter",0,"South"
"Employed",4,40,"Bachelor/Master's and above","Married","Hispanic",0,"male","Winter",1,"Northeast"
"Employed",4.5,47,"Less than High School","Married","Hispanic",1,"male","Winter",1,"West"
"Employed",2.4,53,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"Northeast"
"Employed",4.1,43,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"Northeast"
"Employed",3.2,43,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Northeast"
"Employed",4.5,47,"Bachelor/Master's and above","Married","White",0,"male","Winter",0,"West"
"Not in the labor force",3.4,35,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Winter",1,"South"
"Employed",3.4,41,"High School Degree","Not Married","Hispanic",1,"female","Winter",0,"South"
"Employed",3.2,39,"High School Degree","Not Married","White",1,"male","Winter",1,"Midwest"
"Employed",4.3,41,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"West"
"Employed",3.7,42,"High School Degree","Not Married","Hispanic",0,"female","Winter",1,"South"
"Employed",3.2,45,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",0,"Midwest"
"Not in the labor force",3.8,39,"High School Degree","Married","Hispanic",1,"female","Winter",0,"South"
"Employed",3,41,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Midwest"
"Employed",3.7,59,"Bachelor/Master's and above","Not Married","Asian",0,"male","Winter",0,"South"
"Employed",3,42,"High School Degree","Not Married","Hispanic",0,"female","Winter",1,"South"
"Employed",3.7,37,"High School Degree","Not Married","Hispanic",1,"male","Winter",1,"South"
"Employed",3.8,33,"High School Degree","Not Married","White",0,"male","Winter",0,"Northeast"
"Employed",4.1,41,"Bachelor/Master's and above","Married","Black",0,"male","Winter",0,"Northeast"
"Employed",4.3,36,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",1,"Midwest"
"Not in the labor force",3.4,50,"Less than High School","Married","Hispanic",0,"female","Winter",0,"South"
"Employed",3.1,27,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",0,"Midwest"
"Employed",3.6,44,"High School Degree","Not Married","White",0,"male","Winter",1,"South"
"Employed",4,54,"High School Degree","Not Married","Black",0,"male","Winter",1,"South"
"Employed",4,45,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Employed",4.5,33,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",1,"West"
"Employed",3.6,26,"Bachelor/Master's and above","Married","White",0,"male","Winter",1,"South"
"Employed",3.7,35,"High School Degree","Married","Black",1,"male","Winter",0,"South"
"Unemployed",4.3,29,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Winter",0,"West"
"Not in the labor force",3.7,58,"High School Degree","Married","White",0,"male","Winter",0,"Northeast"
"Unemployed",3.8,53,"High School Degree","Not Married","Hispanic",1,"male","Winter",1,"Northeast"
"Employed",4,41,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Employed",4.5,33,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"West"
"Employed",2.7,57,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Midwest"
"Not in the labor force",3.2,36,"High School Degree","Not Married","Hispanic",0,"female","Winter",0,"Midwest"
"Employed",3.8,37,"Less than High School","Not Married","Black",0,"male","Winter",1,"South"
"Employed",4.2,34,"Bachelor/Master's and above","Married","White",0,"male","Winter",0,"South"
"Employed",4,55,"Less than High School","Married","Black",1,"female","Winter",1,"Northeast"
"Employed",4,46,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Northeast"
"Employed",3.6,48,"High School Degree","Married","White",0,"male","Winter",0,"Midwest"
"Not in the labor force",4.5,50,"Less than High School","Not Married","Black",0,"male","Winter",0,"West"
"Employed",2.7,28,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Midwest"
"Employed",3.7,38,"Bachelor/Master's and above","Not Married","Black",0,"male","Winter",1,"South"
"Employed",3.2,28,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"West"
"Employed",3.4,36,"Bachelor/Master's and above","Not Married","Black",1,"male","Winter",1,"South"
"Not in the labor force",4.3,38,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Midwest"
"Employed",5.1,30,"Bachelor/Master's and above","Not Married","Hispanic",0,"male","Winter",0,"South"
"Employed",4.7,28,"Bachelor/Master's and above","Not Married","Black",1,"female","Winter",1,"South"
"Employed",3.2,57,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Winter",1,"West"
"Employed",2.9,39,"High School Degree","Married","White",0,"male","Winter",1,"West"
"Employed",3.4,49,"High School Degree","Married","Black",0,"female","Winter",0,"South"
"Employed",4,35,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"South"
"Employed",4,53,"High School Degree","Married","White",0,"male","Winter",1,"Northeast"
"Unemployed",3.7,32,"High School Degree","Not Married","White",0,"male","Winter",0,"South"
"Employed",4.2,25,"High School Degree","Not Married","Black",1,"female","Winter",1,"Midwest"
"Employed",4,60,"Less than High School","Married","Asian",0,"male","Winter",0,"Northeast"
"Employed",3.3,47,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",1,"Midwest"
"Employed",2.7,44,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Not in the labor force",4,59,"High School Degree","Not Married","Black",0,"female","Winter",0,"Northeast"
"Employed",2.7,30,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"Midwest"
"Unemployed",3.7,38,"Less than High School","Not Married","White",1,"male","Winter",0,"Northeast"
"Employed",3.1,35,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Midwest"
"Not in the labor force",3.6,59,"High School Degree","Not Married","Black",0,"female","Winter",1,"South"
"Unemployed",4.3,29,"High School Degree","Not Married","Black",1,"female","Winter",0,"West"
"Employed",3.8,46,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Employed",3.7,29,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"South"
"Not in the labor force",4.3,56,"Bachelor/Master's and above","Not Married","Asian",0,"female","Winter",0,"West"
"Employed",3.1,57,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"Northeast"
"Employed",3,39,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",0,"South"
"Employed",3.6,55,"High School Degree","Not Married","White",0,"male","Winter",1,"South"
"Not in the labor force",3.8,44,"Bachelor/Master's and above","Married","Asian",0,"female","Winter",1,"South"
"Employed",4.2,34,"Less than High School","Not Married","Hispanic",1,"male","Winter",0,"West"
"Employed",3.1,39,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Northeast"
"Not in the labor force",4.3,38,"Less than High School","Married","Hispanic",1,"female","Winter",0,"West"
"Employed",3.7,49,"High School Degree","Married","Hispanic",0,"male","Winter",0,"South"
"Not in the labor force",3.7,48,"High School Degree","Not Married","White",0,"female","Winter",1,"Northeast"
"Employed",4.1,46,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Northeast"
"Employed",4.3,32,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"West"
"Employed",3.1,31,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"Northeast"
"Employed",4.9,58,"Bachelor/Master's and above","Married","White",0,"female","Winter",1,"South"
"Not in the labor force",4,40,"Bachelor/Master's and above","Not Married","Black",0,"male","Winter",0,"Northeast"
"Not in the labor force",3.1,34,"Bachelor/Master's and above","Married","Asian",1,"male","Winter",1,"Northeast"
"Employed",3.2,42,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",4.3,42,"High School Degree","Married","Asian",1,"male","Winter",1,"West"
"Employed",4.2,47,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",3.4,38,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"South"
"Employed",3.6,49,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"South"
"Employed",4.4,53,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Midwest"
"Employed",4.3,33,"High School Degree","Not Married","White",1,"female","Winter",0,"West"
"Employed",4,59,"Bachelor/Master's and above","Not Married","Black",0,"female","Winter",0,"South"
"Not in the labor force",3.4,45,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"South"
"Not in the labor force",3.6,40,"Less than High School","Not Married","Hispanic",1,"female","Winter",1,"Midwest"
"Employed",3.8,25,"High School Degree","Not Married","Hispanic",1,"male","Winter",0,"Northeast"
"Employed",3.8,29,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"South"
"Employed",5,38,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Winter",1,"West"
"Employed",4.3,36,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter",0,"West"
"Employed",3.7,58,"High School Degree","Not Married","White",0,"female","Winter",0,"Northeast"
"Employed",3.7,53,"High School Degree","Not Married","White",0,"female","Winter",1,"Northeast"
"Employed",3.8,57,"High School Degree","Married","White",0,"male","Winter",0,"South"
"Employed",4.7,31,"Bachelor/Master's and above","Married","White",0,"male","Winter",1,"South"
"Employed",2.9,42,"High School Degree","Married","White",1,"female","Winter",1,"West"
"Employed",3.8,41,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Employed",3.2,35,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",1,"West"
"Employed",2.5,44,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Employed",4.1,55,"Bachelor/Master's and above","Not Married","Black",0,"female","Winter",0,"Northeast"
"Employed",3,42,"High School Degree","Not Married","White",0,"male","Winter",0,"South"
"Not in the labor force",3.4,59,"Less than High School","Not Married","Hispanic",0,"female","Winter",1,"South"
"Employed",4.4,46,"High School Degree","Married","Black",0,"male","Winter",0,"Midwest"
"Employed",4.3,35,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",0,"West"
"Employed",3.2,27,"High School Degree","Not Married","Black",0,"male","Winter",1,"Midwest"
"Employed",3.8,58,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",0,"South"
"Employed",4.3,58,"Less than High School","Not Married","Hispanic",0,"female","Winter",0,"West"
"Employed",4,54,"High School Degree","Not Married","White",0,"female","Winter",0,"Northeast"
"Employed",3.7,37,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Not in the labor force",4.2,48,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",0,"South"
"Employed",4,45,"Bachelor/Master's and above","Married","Hispanic",0,"female","Winter",1,"Northeast"
"Employed",2.9,57,"Less than High School","Not Married","White",0,"male","Winter",0,"West"
"Employed",3.1,55,"High School Degree","Married","White",0,"female","Winter",0,"Midwest"
"Not in the labor force",3.2,58,"High School Degree","Married","White",0,"female","Winter",1,"Midwest"
"Employed",3.6,37,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",0,"Midwest"
"Employed",4,55,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Northeast"
"Not in the labor force",3.7,50,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter",0,"South"
"Not in the labor force",3.1,57,"High School Degree","Not Married","Black",1,"female","Winter",1,"Midwest"
